jenis_ikan,tahun,produksi(ton),Fuzzy C-Means,Kohonen Self Organizing Map (SOM),,,,,,,,,,,,,
28,2017,23008,Sedang,Rendah,sotong,,d(cluster1),2.55E+11,,,,,,d(cluster1),2.56E+11,,
29,2017,24091,Sedang,Rendah,kurisi,,d(cluster2),40429382479,,,,,,d(cluster2),40639975922,,
30,2017,25902,Sedang,Rendah,gulamah,,d(cluster3),243788928.4,,,,,,d(cluster3),260394459,,
31,2017,27320,Sedang,Rendah,udang_krosok,,minumum d(cluster3),,,,,,,minumum d(cluster3),,,
32,2017,27953,Sedang,Rendah,tenggiri,,perbaikan bobot cluster3,,,,,,,perbaikan bobot cluster3,,,
33,2017,41301,Sedang,Rendah,kuniran,,cluster 1,40.22222222,2019.111111,506110.8889,,,,cluster 1,40.22222222,2019.111111,506110.8889
34,2017,46217,Sedang,Rendah,selar,,cluster 2,36.17647059,2019.058824,201833.5882,,,,cluster 2,36.17647059,2019.058824,201833.5882
35,2017,56965,Sedang,Rendah,rajungan,,cluster 3,20.58219895,2018.692146,13253.9822,,,,cluster 3,20.38219895,2018.692146,13149.3822
36,2017,68085,Sedang,Rendah,kembung,,,,,,,,,,,,
37,2017,87711,Sedang,Rendah,udang_lainnya,,,,,,,,,,,,
38,2017,262009,Sedang,Sedang,tembang,,,,,,,,,,,,
39,2017,327516,Rendah,Sedang,cumi_cumi,,,,,,,,,,,,
40,2017,357184,Rendah,Tinggi,teri,,iterasi 5,,,,,,,,,,
41,2017,603581,Tinggi,Tinggi,peperek,,D(j),,,,,,,,,,
42,2018,31,Sedang,Rendah,swangi,,d(cluster1),2.55E+11,,,,,,,,,
43,2018,33,Sedang,Rendah,setuhuk_hitam,,d(cluster2),40325696556,,,,,,,,,
17,2018,39,Sedang,Rendah,kerong_kerong,,d(cluster3),23518455.14,,,,,,,,,
44,2018,78,Sedang,Rendah,lencam,,minumum d(cluster3),,,,,,,,,,
45,2018,106,Sedang,Rendah,gerot_gerot,,perbaikan bobot cluster3,,,,,,,,,,
46,2018,132,Sedang,Rendah,kapasan,,cluster 1,40.22222222,2019.111111,506110.8889,,,,,,,
47,2018,183,Sedang,Rendah,lemadang,,cluster 2,36.17647059,2019.058824,201833.5882,,,,,,,
1,2018,248,Sedang,Rendah,bawal_putih,,cluster 3,20.78219895,2018.692146,13305.5822,,,,,,,
48,2018,352,Sedang,Rendah,beronang,,,,,,,,,,,,
3,2018,554,Sedang,Rendah,layaran,,,,,,,,,,,,
2,2018,1323,Sedang,Rendah,cucut,,,,,,,,,,,,
8,2018,1366,Sedang,Rendah,kakap_putih,,,,,,,,,,,,
5,2018,1384,Sedang,Rendah,kakap_merah,,,,,,,,,,,,
49,2018,1516,Sedang,Rendah,bentong,,,,,,,,,,,,
11,2018,1750,Sedang,Rendah,bawal_hitam,,,,,,,,,,,,
4,2018,1880,Sedang,Rendah,ekor_kuning,,,,,,,,,,,,
50,2018,2187,Sedang,Rendah,kerapu,,,,,,,,,,,,
10,2018,2262,Sedang,Rendah,layur,,,,,,,,,,,,
6,2018,2619,Sedang,Rendah,udang_jerbung,,,,,,,,,,,,
12,2018,3007,Sedang,Rendah,kuro,,,,,,,,,,,,
9,2018,5072,Sedang,Rendah,talang_talang,,,,,,,,,,,,
51,2018,5190,Sedang,Rendah,gurita,,,,,,,,,,,,
7,2018,5378,Sedang,Rendah,cendro,,,,,,,,,,,,
14,2018,7231,Sedang,Rendah,manyung,,,,,,,,,,,,
29,2018,8548,Sedang,Rendah,kurisi,,,,,,,,,,,,
22,2018,8794,Sedang,Rendah,alu_alu,,,,,,,,,,,,
20,2018,13402,Sedang,Rendah,kwe,,,,,,,,,,,,
19,2018,13457,Sedang,Rendah,beloso,,,,,,,,,,,,
24,2018,15023,Sedang,Rendah,belanak,,,,,,,,,,,,
21,2018,15342,Sedang,Rendah,tetengkek,,,,,,,,,,,,
16,2018,15704,Sedang,Rendah,golok_golok,,,,,,,,,,,,
13,2018,17410,Sedang,Rendah,layang,,,,,,,,,,,,
15,2018,20792,Sedang,Rendah,ikan_sebelah,,,,,,,,,,,,
18,2018,28468,Sedang,Rendah,tongkol,,,,,,,,,,,,
32,2018,32115,Sedang,Rendah,tenggiri,,,,,,,,,,,,
28,2018,32486,Sedang,Rendah,sotong,,,,,,,,,,,,
31,2018,33517,Sedang,Rendah,udang_krosok,,,,,,,,,,,,
25,2018,36856,Sedang,Rendah,pari,,,,,,,,,,,,
27,2018,37298,Sedang,Rendah,japuh,,,,,,,,,,,,
52,2018,56659,Sedang,Rendah,selanget,,,,,,,,,,,,
30,2018,69871,Sedang,Rendah,gulamah,,,,,,,,,,,,
37,2018,74463,Sedang,Rendah,udang_lainnya,,,,,,,,,,,,
34,2018,75916,Sedang,Rendah,selar,,,,,,,,,,,,
33,2018,95898,Sedang,Rendah,kuniran,,,,,,,,,,,,
36,2018,121340,Sedang,Sedang,kembung,,,,,,,,,,,,
35,2018,133703,Sedang,Sedang,rajungan,,,,,,,,,,,,
26,2018,163830,Sedang,Sedang,siro,,,,,,,,,,,,
38,2018,192443,Sedang,Sedang,tembang,,,,,,,,,,,,
39,2018,216457,Sedang,Sedang,cumi_cumi,,,,,,,,,,,,
40,2018,369196,Rendah,Tinggi,teri,,,,,,,,,,,,
41,2018,434438,Tinggi,Tinggi,peperek,,,,,,,,,,,,
47,2019,30,Sedang,Rendah,lemadang,,,,,,,,,,,,
43,2019,51,Sedang,Rendah,setuhuk_hitam,,,,,,,,,,,,
42,2019,265,Sedang,Rendah,swangi,,,,,,,,,,,,
1,2019,277,Sedang,Rendah,bawal_putih,,,,,,,,,,,,
45,2019,325,Sedang,Rendah,gerot_gerot,,,,,,,,,,,,
44,2019,470,Sedang,Rendah,lencam,,,,,,,,,,,,
46,2019,530,Sedang,Rendah,kapasan,,,,,,,,,,,,
48,2019,645,Sedang,Rendah,beronang,,,,,,,,,,,,
11,2019,797,Sedang,Rendah,bawal_hitam,,,,,,,,,,,,
4,2019,1128,Sedang,Rendah,ekor_kuning,,,,,,,,,,,,
49,2019,1232,Sedang,Rendah,bentong,,,,,,,,,,,,
5,2019,1359,Sedang,Rendah,kakap_merah,,,,,,,,,,,,
3,2019,1502,Sedang,Rendah,layaran,,,,,,,,,,,,
50,2019,1741,Sedang,Rendah,kerapu,,,,,,,,,,,,
17,2019,1745,Sedang,Rendah,kerong_kerong,,,,,,,,,,,,
10,2019,1772,Sedang,Rendah,layur,,,,,,,,,,,,
2,2019,2137,Sedang,Rendah,cucut,,,,,,,,,,,,
6,2019,2280,Sedang,Rendah,udang_jerbung,,,,,,,,,,,,
7,2019,3396,Sedang,Rendah,cendro,,,,,,,,,,,,
8,2019,3879,Sedang,Rendah,kakap_putih,,,,,,,,,,,,
13,2019,3924,Sedang,Rendah,layang,,,,,,,,,,,,
22,2019,5800,Sedang,Rendah,alu_alu,,,,,,,,,,,,
12,2019,6365,Sedang,Rendah,kuro,,,,,,,,,,,,
21,2019,6943,Sedang,Rendah,tetengkek,,,,,,,,,,,,
9,2019,6969,Sedang,Rendah,talang_talang,,,,,,,,,,,,
51,2019,7788,Sedang,Rendah,gurita,,,,,,,,,,,,
14,2019,12664,Sedang,Rendah,manyung,,,,,,,,,,,,
29,2019,12809,Sedang,Rendah,kurisi,,,,,,,,,,,,
20,2019,12902,Sedang,Rendah,kwe,,,,,,,,,,,,
27,2019,13581,Sedang,Rendah,japuh,,,,,,,,,,,,
15,2019,15338,Sedang,Rendah,ikan_sebelah,,,,,,,,,,,,
24,2019,15761,Sedang,Rendah,belanak,,,,,,,,,,,,
16,2019,16473,Sedang,Rendah,golok_golok,,,,,,,,,,,,
19,2019,25211,Sedang,Rendah,beloso,,,,,,,,,,,,
34,2019,25903,Sedang,Rendah,selar,,,,,,,,,,,,
25,2019,25991,Sedang,Rendah,pari,,,,,,,,,,,,
31,2019,28155,Sedang,Rendah,udang_krosok,,,,,,,,,,,,
26,2019,31101,Sedang,Rendah,siro,,,,,,,,,,,,
32,2019,38734,Sedang,Rendah,tenggiri,,,,,,,,,,,,
18,2019,54836,Sedang,Rendah,tongkol,,,,,,,,,,,,
28,2019,55145,Sedang,Rendah,sotong,,,,,,,,,,,,
37,2019,64362,Sedang,Rendah,udang_lainnya,,,,,,,,,,,,
52,2019,65600,Sedang,Rendah,selanget,,,,,,,,,,,,
30,2019,87263,Sedang,Rendah,gulamah,,,,,,,,,,,,
36,2019,89496,Sedang,Rendah,kembung,,,,,,,,,,,,
35,2019,118235,Sedang,Sedang,rajungan,,,,,,,,,,,,
38,2019,190246,Sedang,Sedang,tembang,,,,,,,,,,,,
33,2019,224736,Sedang,Sedang,kuniran,,,,,,,,,,,,
39,2019,242054,Sedang,Sedang,cumi_cumi,,,,,,,,,,,,
40,2019,464923,Tinggi,Tinggi,teri,,,,,,,,,,,,
41,2019,651455,Tinggi,Tinggi,peperek,,,,,,,,,,,,
1,2020,178,Sedang,Rendah,bawal_putih,,,,,,,,,,,,
53,2020,338,Sedang,Rendah,ikan_terbang,,,,,,,,,,,,
3,2020,891,Sedang,Rendah,layaran,,,,,,,,,,,,
8,2020,1139,Sedang,Rendah,kakap_putih,,,,,,,,,,,,
5,2020,1309,Sedang,Rendah,kakap_merah,,,,,,,,,,,,
48,2020,1511,Sedang,Rendah,beronang,,,,,,,,,,,,
2,2020,1531,Sedang,Rendah,cucut,,,,,,,,,,,,
7,2020,1653,Sedang,Rendah,cendro,,,,,,,,,,,,
4,2020,1719,Sedang,Rendah,ekor_kuning,,,,,,,,,,,,
45,2020,1902,Sedang,Rendah,gerot_gerot,,,,,,,,,,,,
10,2020,1947,Sedang,Rendah,layur,,,,,,,,,,,,
54,2020,1961,Sedang,Rendah,jenaha,,,,,,,,,,,,
55,2020,2262,Sedang,Rendah,semar,,,,,,,,,,,,
17,2020,2441,Sedang,Rendah,kerong_kerong,,,,,,,,,,,,
51,2020,2685,Sedang,Rendah,gurita,,,,,,,,,,,,
49,2020,2749,Sedang,Rendah,bentong,,,,,,,,,,,,
56,2020,3166,Sedang,Rendah,teri_nasi,,,,,,,,,,,,
9,2020,4469,Sedang,Rendah,talang_talang,,,,,,,,,,,,
12,2020,5670,Sedang,Rendah,kuro,,,,,,,,,,,,
6,2020,6525,Sedang,Rendah,udang_jerbung,,,,,,,,,,,,
22,2020,6946,Sedang,Rendah,alu_alu,,,,,,,,,,,,
26,2020,7445,Sedang,Rendah,siro,,,,,,,,,,,,
14,2020,8249,Sedang,Rendah,manyung,,,,,,,,,,,,
16,2020,8753,Sedang,Rendah,golok_golok,,,,,,,,,,,,
20,2020,9767,Sedang,Rendah,kwe,,,,,,,,,,,,
29,2020,9958,Sedang,Rendah,kurisi,,,,,,,,,,,,
15,2020,12387,Sedang,Rendah,ikan_sebelah,,,,,,,,,,,,
24,2020,13529,Sedang,Rendah,belanak,,,,,,,,,,,,
21,2020,14545,Sedang,Rendah,tetengkek,,,,,,,,,,,,
19,2020,17558,Sedang,Rendah,beloso,,,,,,,,,,,,
27,2020,20547,Sedang,Rendah,japuh,,,,,,,,,,,,
25,2020,22222,Sedang,Rendah,pari,,,,,,,,,,,,
28,2020,28368,Sedang,Rendah,sotong,,,,,,,,,,,,
31,2020,29007,Sedang,Rendah,udang_krosok,,,,,,,,,,,,
34,2020,30612,Sedang,Rendah,selar,,,,,,,,,,,,
18,2020,32170,Sedang,Rendah,tongkol,,,,,,,,,,,,
52,2020,35522,Sedang,Rendah,selanget,,,,,,,,,,,,
37,2020,69780,Sedang,Rendah,udang_lainnya,,,,,,,,,,,,
35,2020,77519,Sedang,Rendah,rajungan,,,,,,,,,,,,
30,2020,84253,Sedang,Rendah,gulamah,,,,,,,,,,,,
13,2020,94638,Sedang,Rendah,layang,,,,,,,,,,,,
36,2020,100861,Sedang,Rendah,kembung,,,,,,,,,,,,
38,2020,150564,Sedang,Sedang,tembang,,,,,,,,,,,,
33,2020,198064,Sedang,Sedang,kuniran,,,,,,,,,,,,
39,2020,234054,Sedang,Sedang,cumi_cumi,,,,,,,,,,,,
41,2020,569605,Tinggi,Tinggi,peperek,,,,,,,,,,,,
40,2020,610872,Tinggi,Tinggi,teri,,,,,,,,,,,,
11,2021,33,Sedang,Rendah,bawal_hitam,,,,,,,,,,,,
1,2021,33,Sedang,Rendah,bawal_putih,,,,,,,,,,,,
53,2021,156,Sedang,Rendah,ikan_terbang,,,,,,,,,,,,
10,2021,392,Sedang,Rendah,layur,,,,,,,,,,,,
3,2021,448,Sedang,Rendah,layaran,,,,,,,,,,,,
48,2021,562,Sedang,Rendah,beronang,,,,,,,,,,,,
45,2021,644,Sedang,Rendah,gerot_gerot,,,,,,,,,,,,
57,2021,673,Sedang,Rendah,teri_nasi,,,,,,,,,,,,
8,2021,692,Sedang,Rendah,kakap_putih,,,,,,,,,,,,
2,2021,886,Sedang,Rendah,cucut,,,,,,,,,,,,
58,2021,1065,Sedang,Rendah,udang_dogol,,,,,,,,,,,,
50,2021,1506,Sedang,Rendah,kerapu,,,,,,,,,,,,
54,2021,1527,Sedang,Rendah,jenaha,,,,,,,,,,,,
5,2021,1555,Sedang,Rendah,kakap_merah,,,,,,,,,,,,
7,2021,2040,Sedang,Rendah,cendro,,,,,,,,,,,,
49,2021,2259,Sedang,Rendah,bentong,,,,,,,,,,,,
51,2021,2297,Sedang,Rendah,gurita,,,,,,,,,,,,
12,2021,2298,Sedang,Rendah,kuro,,,,,,,,,,,,
16,2021,2481,Sedang,Rendah,golok_golok,,,,,,,,,,,,
59,2021,4322,Sedang,Rendah,udang_kipas,,,,,,,,,,,,
60,2021,4972,Sedang,Rendah,sembilang,,,,,,,,,,,,
22,2021,5009,Sedang,Rendah,alu_alu,,,,,,,,,,,,
4,2021,5041,Sedang,Rendah,ekor_kuning,,,,,,,,,,,,
9,2021,5446,Sedang,Rendah,talang_talang,,,,,,,,,,,,
13,2021,6750,Sedang,Rendah,layang,,,,,,,,,,,,
21,2021,7445,Sedang,Rendah,tetengkek,,,,,,,,,,,,
20,2021,7886,Sedang,Rendah,kwe,,,,,,,,,,,,
24,2021,8451,Sedang,Rendah,belanak,,,,,,,,,,,,
14,2021,8522,Sedang,Rendah,manyung,,,,,,,,,,,,
15,2021,10031,Sedang,Rendah,ikan_sebelah,,,,,,,,,,,,
29,2021,11243,Sedang,Rendah,kurisi,,,,,,,,,,,,
6,2021,11333,Sedang,Rendah,udang_jerbung,,,,,,,,,,,,
26,2021,14190,Sedang,Rendah,siro,,,,,,,,,,,,
25,2021,16352,Sedang,Rendah,pari,,,,,,,,,,,,
17,2021,16368,Sedang,Rendah,kerong_kerong,,,,,,,,,,,,
55,2021,19064,Sedang,Rendah,semar,,,,,,,,,,,,
28,2021,19180,Sedang,Rendah,sotong,,,,,,,,,,,,
19,2021,19587,Sedang,Rendah,beloso,,,,,,,,,,,,
32,2021,30846,Sedang,Rendah,tenggiri,,,,,,,,,,,,
27,2021,31269,Sedang,Rendah,japuh,,,,,,,,,,,,
31,2021,32872,Sedang,Rendah,udang_krosok,,,,,,,,,,,,
18,2021,36135,Sedang,Rendah,tongkol,,,,,,,,,,,,
52,2021,37016,Sedang,Rendah,selanget,,,,,,,,,,,,
34,2021,46473,Sedang,Rendah,selar,,,,,,,,,,,,
37,2021,52605,Sedang,Rendah,udang_lainnya,,,,,,,,,,,,
30,2021,69709,Sedang,Rendah,gulamah,,,,,,,,,,,,
35,2021,83674,Sedang,Rendah,rajungan,,,,,,,,,,,,
39,2021,172153,Sedang,Sedang,cumi_cumi,,,,,,,,,,,,
36,2021,175570,Sedang,Sedang,kembung,,,,,,,,,,,,
33,2021,254449,Sedang,Sedang,kuniran,,,,,,,,,,,,
40,2021,287802,Rendah,Sedang,teri,,,,,,,,,,,,
38,2021,399020,Tinggi,Tinggi,tembang,,,,,,,,,,,,
41,2021,529162,Tinggi,Tinggi,peperek,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,214,,,,,,,,,,,,,
,,,,18,,,,,,,,,,,,,
,,,,10,,,,,,,,,,,,,
